lead_id,company,domain,website,source_query,title,description,emails,email_titles,email_phones,phones,contact_page,linkedin,detected_tech,categories,reseller_score,priority,reasons,suggested_angle,status,country,country_name,notes,crawled_at
www_planakommunikasjon_no,Planakommunikasjon,planakommunikasjon.no,http://www.planakommunikasjon.no/,Sortlist NO – web design,PLAN A Kommunikasjon • Design to win - Plan A,"Få en identitet som står støtt fordi den er bygget på innsikt, ikke synsing. Vi designer visuelle identiteter som gir merkevaren kraft, samler folk og mobiliserer.","carl@planakommunikasjon.no, post@planakommunikasjon.no, torun@planakommunikasjon.no",", , ",", +47 91 75 07 23, ","+47 92 46 07 27, +47 98 03 27 86",http://www.planakommunikasjon.no/#contact-details-section,,"Magento, WordPress, WordPress 7.0","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: nettside, nettsider, hjemmeside, website; wordpress: wordpress, wp-content; seo: seo; communication: kommunikasjon, content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: partner, oppdrag; NON-AGENCY penalty (restaurant): -30","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:04+00:00
tennet_no,Tennet,tennet.no,https://tennet.no/,Sortlist NO – web design,TenneT,Stå over støyen. Led med strategi. Voks med effekt.,post@tennet.no,,+47 53 41 19 42,+47 40 57 13 22,https://tennet.no/kontakt-oss/,,"DotNetNuke, HubSpot, Magento, OpenCart, Salesforce, Shopify, Shopware, Squarespace, TYPO3, Umbraco, WooCommerce, WordPress, WordPress 7.0","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: nettside, nettsider; wordpress: wordpress, wp-content, divi; seo: seo, google ads, search engine optimization; communication: innhold, content; public_sector: kommune, stat, universitet; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: referanser, vi hjelper bedrifter",Offer BlueSearch as a plug-in AI search add-on for their Umbraco customer base.,New,NO,Norway,,2026-05-24T22:25:07+00:00
bonefish_no,Bonefish,bonefish.no,https://bonefish.no/,Sortlist NO – web design,"Design, websider og markedsføring - Bonefish digitalbyrå",Vi er et strategisk og kreativt byrå som i over 20 år har hjulpet kunder med å styrke sin digitale profil og bygge en sterkere merkevare.,,,,+47 21 65 48 80,https://bonefish.no/om-oss,https://www.linkedin.com/company/203186,"Joomla! - Open Source Content Management, Magento","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: webdesign, nettside, nettsider, digitalbyrå; wordpress: divi; seo: seo, søkemotoroptimalisering, synlighet; communication: kommunikasjon, innhold, content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: vi bygger nettsider, vi utvikler, webprosjekt; NON-AGENCY penalty (bank ): -30","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:08+00:00
triare_net,Triare,triare.net,https://triare.net/,Sortlist NO – web design,Software development company ▲TRIARE,"TRIARE is an IT company with extensive expertise in development, testing, and design. Trust your project to our app development company.",welcome@triare.net,,+46 8 124 006 02,"+1 612-559-6828, +46 8 124 006 02",https://triare.net/about-us/,,"HubSpot, Magento, WordPress, WordPress 6.9.4","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: website; wordpress: wordpress, wp-content, divi; seo: seo; communication: content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: case study, partner",Replace HubSpot's basic search with BlueSearch for smarter lead-capture on client portals.,New,NO,Norway,,2026-05-24T22:25:09+00:00
www_ish_studio,Ish,ish.studio,https://www.ish.studio/,Sortlist NO – web design,Ish Studio | Webflow Premium Partner Agency,"B2B Webflow websites built for growth. Custom design, development & SEO by Norway's first Webflow Premium Partner. Fixed pricing, fast delivery.","hey@ish.studio, martin@ish.studio",", Head of growth &amp; partner martin@ish.studio <div role=""li",", +47 99 02 29 80",+47 99 49 06 50,https://www.ish.studio/about,https://www.linkedin.com/company/ishstudio,"Magento, Squarespace, Webflow, WordPress","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: webdesign, nettside, web design, website; wordpress: wordpress; seo: seo, search engine optimization; communication: content; public_sector: stat; ai_interest: ai, ki, chatgpt; has services/customers/cases language; offers maintenance/support; agency language: case study, partner",BlueSearch embeds in Webflow/Framer sites with a single script tag — easy win for clients.,New,NO,Norway,,2026-05-24T22:25:09+00:00
interface_design_co_uk,Interface Design,interface-design.co.uk,https://interface-design.co.uk/,Sortlist NO – web design,Award winning UX Design Agency | Excellence in Product Design,"Digital product agency: user experience for web, mobile and industrial apps, research and user interface design. Clients: Ford, Discovery Channel, Philips, Vodafone, OECD. Globally acclaimed, based in London and Berlin.",,,,,https://interface-design.co.uk/about/,,"Gatsby 5.13.7, Magento, Sanity","ai_interest, communication, public_sector, web_agency, wordpress",100,A - High fit,"web_agency: website; wordpress: divi; communication: content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: case study","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:09+00:00
inbold_com,Inbold,inbold.com,https://inbold.com/,Sortlist NO – web design,InBold - Strategic Creative Communications Agency,"InBold is a 360° creative communications agency. We craft and deliver brand stories through PR, branding, influencer marketing, digital media & content production.",hello@inbold.com,,+45 70 26 44 22,"+45 70 26 14 22, +45 70 26 44 22, +46 70 622 31 75, +84 28 6291 5226",https://inbold.com/about-us/,https://www.linkedin.com/company/inbold-1,"Elementor, Magento, WordPress, WordPress 7.0","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: website; wordpress: wordpress, wp-content, elementor, divi; seo: seo, search engine optimization; communication: content, public relations; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: case study, partner","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:13+00:00
www_elivomedia_no,Elivomedia,elivomedia.no,https://www.elivomedia.no/,Sortlist NO – web design,Elivo Media | Digitale markedsføringstjenester | Norge,"Elivo Media lager moderne nettsider og digital markedsføring som øker synlighet og vekst. SEO, design og strategi som hjelper bedrifter å lykkes online.","eksempel@mittnettsted.com, navn@example.com, post@elivomedia.no",", , ",", , +47 91 73 97 17","+47 46 98 09 19, +47 91 73 97 17",https://www.elivomedia.no/om-oss,https://www.linkedin.com/company/wix-com,"Magento, Wix, Wix.com Website Builder, WordPress","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: nettside, nettsider, hjemmeside, website; wordpress: divi; seo: seo, søkemotoroptimalisering, google ads, synlighet; communication: innhold, content; public_sector: stat; ai_interest: ai, ki, chatgpt; has services/customers/cases language; offers maintenance/support; agency language: vi bygger nettsider, vi utvikler, partner; NON-AGENCY penalty (frisør): -30","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:13+00:00
nettfokus_no,Nettfokus,nettfokus.no,https://nettfokus.no/,Sortlist NO – web design,Hjem - Nettfokus AS,Nettfokus mediebyrå,"info@email.com, post@nettfokus.no",", ",", +47 32 99 40 95","+47 32 99 44 47, +47 95 09 30 29, +47 96 62 69 12",https://nettfokus.no/om-oss/,,"Elementor, Magento, WooCommerce, WordPress, WordPress 6.8.5","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: nettside, nettsider, digitalbyrå, website; wordpress: wordpress, wp-content, woocommerce, elementor; seo: seo, google ads, synlighet; communication: content; public_sector: stat; ai_interest: ai, ki; has services/customers/cases language; offers maintenance/support; agency language: partner, vi hjelper bedrifter","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:15+00:00
www_pxstudio_no,Pxstudio,pxstudio.no,http://www.pxstudio.no/,Sortlist NO – web design,Apputvikling og webutvikling - Pixel Studio,Vi hjelper ambisiøse selskaper med å skille seg ut i dagens marked og bygge en varig tilstedeværelse for fremtiden.,hei@pxstudio.no,,,+47 22 09 01 04,https://pxstudio.no/om-oss/,,"Elementor, Magento, WooCommerce, WordPress, WordPress 7.0","ai_interest, communication, public_sector, seo, web_agency, wordpress",100,A - High fit,"web_agency: nettside, nettsider, webutvikling, website; wordpress: wordpress, wp-content, woocommerce, elementor; seo: seo, search engine optimization; communication: content; public_sector: stat; ai_interest: ai, ki, automatisering; has services/customers/cases language; offers maintenance/support; agency language: vi utvikler, våre kunder, partner","Focus on public-information sites: help visitors find answers across pages, PDFs and articles.",New,NO,Norway,,2026-05-24T22:25:16+00:00
